acc_rating;amen;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price
10;[1, 2, 3, 4, 8, 9, 17, 18, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 57];Real Bed;5;10;10;10;100;8598197;False;True;10;37.797765705803464;-122.42479461815351;p3;10;79;Entire home/apt;171;10;10;700.0
10;[1, 3, 4, 8, 30, 31, 36, 39, 40, 41, 43, 44, 45, 46, 47];Real Bed;3;10;10;10;90;10527674;True;False;10;37.776111994068756;-122.4267279462395;p3;5;19;Entire home/apt;17;10;2;1250.0
10;[1, 3, 4, 8, 9, 12, 17, 18, 30, 31, 33, 34, 35, 36, 39, 40, 41, 44, 45, 46, 47];Real Bed;5;10;9;10;97;13842576;False;False;9;37.74379515716656;-122.40763296584895;p3;4;29;Entire home/apt;93;10;7;400.0
10;[1, 2, 4, 8, 9, 27, 30, 31, 33, 34, 41, 45];Real Bed;5;10;10;10;100;8482537;False;False;10;37.79951240909173;-122.44022039789893;p3;4;23;Entire home/apt;30;10;4;400.0
10;[1, 4, 8, 30, 33, 34, 35, 36, 40, 41, 44, 45, 46, 47, 49, 57];Real Bed;5;10;10;10;100;16497710;False;False;10;37.77671485424835;-122.4103254561984;p3;5;17;Entire home/apt;14;10;1;360.0
;[1, 4, 5, 7, 8, 9, 15, 16, 21, 25, 27, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47];Real Bed;3;;;;;16892681;True;False;;37.77654583057636;-122.41673476711834;p3;4;7;Entire home/apt;2;;0;489.0
10;[1, 4, 8, 9, 15, 27, 30, 35, 36, 44, 46, 47, 49, 50];Real Bed;5;10;10;10;100;16083525;False;False;10;37.756034877665634;-122.41120368565832;p3;15;8;Entire home/apt;3;10;1;500.0
10;[1, 2, 3, 4, 5, 8, 9, 25, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47];Real Bed;4;10;10;10;100;7549488;False;False;10;37.76023984879865;-122.39898667479835;p3;6;21;Entire home/apt;18;10;2;525.0
;[1, 4, 8, 17, 19, 21, 27, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 46, 47, 49, 50];Real Bed;4;;;;;15130681;False;False;;37.74636246598881;-122.44511936404989;p3;5;8;Entire home/apt;5;;0;375.0
10;[3, 4, 9, 17, 19, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 46, 47, 49, 50];Real Bed;5;10;10;10;99;150848;False;True;10;37.7619953856549;-122.39391467062444;p3;2;29;Private room;2121;10;142;75.0
9;[4, 5, 8, 25, 30, 33, 34, 35, 36, 39, 40, 41, 45, 46, 47, 49, 50];Real Bed;3;10;9;10;96;15391873;True;False;10;37.753419811209305;-122.5079304433161;p3;1;20;Private room;138;9;11;63.0
10;[3, 4, 8, 12, 30, 39, 40, 41, 44, 45, 46, 49, 50, 51, 54];Real Bed;3;10;10;10;96;1093088;False;True;10;37.76777714069825;-122.42433816649047;p3;1;17;Private room;3952;10;145;68.0
10;[1, 4, 5, 8, 27, 30, 33, 34, 35, 39, 40, 41, 44, 49, 50, 56];Real Bed;5;9;10;10;100;16631708;False;False;10;37.75649046096114;-122.42110400082305;p3;1;10;Private room;20;9;2;53.0
8;[1, 4, 8, 30, 31, 33, 34, 35, 36, 40, 41, 43, 44, 45, 46, 51, 53];Real Bed;5;10;8;10;80;16447684;True;False;10;37.77252653591216;-122.43128006909357;p3;2;9;Private room;51;8;1;70.0
9;[1, 2, 3, 4, 8, 12, 17, 18, 27, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 46, 47];Real Bed;5;10;9;9;91;1633225;False;False;9;37.72545412772756;-122.41889091197282;p3;2;36;Private room;235;9;16;59.0
;[4, 8, 12, 16, 17, 18, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 50, 56];Real Bed;3;;;;;16673412;True;False;;37.74171188424417;-122.42751065927143;p3;2;3;Private room;66;;0;59.0
9;[4, 8, 17, 30, 40, 45, 49, 50];Real Bed;4;9;9;9;87;13138137;False;False;8;37.735955911590516;-122.38883819247256;p3;1;13;Private room;119;9;31;61.0
10;[1, 2, 3, 4, 5, 8, 30, 31, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47];Real Bed;4;10;10;10;98;2704229;False;True;9;37.767712194319095;-122.41836915352283;p3;2;5;Private room;164;10;26;66.0
10;[49, 50];Real Bed;3;10;10;10;100;16497229;False;False;10;37.80486903612492;-122.41377248218637;p3;2;6;Private room;82;10;4;67.0
10;[1, 4, 8, 9, 11, 12, 30, 33, 35, 36, 37, 39, 40, 41, 44, 46, 47, 49, 50];Real Bed;3;10;10;10;99;9473338;False;True;10;37.76721709777691;-122.45010839588527;p3;1;10;Private room;287;10;54;60.0
10;[1, 3, 4, 30, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50];Real Bed;5;10;10;10;99;4295573;False;True;9;37.72424110040259;-122.43389757902229;p3;1;5;Private room;253;10;41;49.0
10;[4, 8, 9, 16, 30, 31, 33, 34, 35, 36, 39, 40, 41, 42, 44, 45, 46, 47];Real Bed;3;9;8;10;90;16284479;True;False;9;37.77785197116738;-122.40764269671425;p3;3;4;Private room;35;10;2;80.0
10;[1, 4, 17, 19, 21, 28, 30, 33, 34, 35, 36, 37, 40, 43, 44, 45, 47, 49, 50, 51, 54];Real Bed;5;10;10;10;100;14611180;False;False;10;37.790372803271445;-122.4122904600606;p3;2;8;Private room;145;10;4;75.0
