room_id;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen_1;amen_2;amen_3;amen_4;amen_5;amen_6;amen_7;amen_8;amen_9;amen_10;amen_11;amen_12;amen_13;amen_14;amen_15;amen_16;amen_17;amen_18;amen_19;amen_20;amen_21;amen_22;amen_23;amen_24;amen_25;amen_26;amen_27;amen_28;amen_29;amen_30;amen_31;amen_32;amen_33;amen_34;amen_35;amen_36;amen_37;amen_38;amen_39;amen_40;amen_41;amen_42;amen_43;amen_44;amen_45;amen_46;amen_47;amen_48;amen_49;amen_50
16259813;;Real Bed;4;;;;;16259813;False;False;;37.79321955104782;-122.25054237937167;p3;1;9;Private room;2;;0;35.0;0;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;True;False;True;False;True;False;True;False;False;False
7888049;9;Real Bed;4;9;9;9;88;7888049;False;False;7;37.81506936223324;-122.27327862721813;p3;2;13;Private room;79;8;37;32.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;True;True
12992443;9;Futon;5;10;10;10;87;12992443;True;False;9;37.68493668332542;-122.4895942120933;p3;1;11;Private room;63;8;17;40.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;True;True;True;True;False;True;True;True;False;True;True;True;True;False;False;False;False
16029644;9;Real Bed;5;10;9;9;100;16029644;False;False;8;37.77044991141145;-122.20010819073688;p3;2;13;Private room;11;9;2;33.0;0;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;True;True;True;True;True;False;True;True;True;False;False;False;False
14110760;10;Real Bed;3;2;10;6;80;14110760;False;False;8;37.83162698632806;-122.2688517589632;p3;1;8;Private room;15;10;1;40.0;0;False;False;False;True;True;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;True;True;False;False;False;True;True;False;True;True
14471459;8;Real Bed;5;8;8;8;76;14471459;True;False;8;37.80697311694863;-122.27985888405011;p3;2;9;Private room;61;8;6;40.0;4;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;True;True;True;True;False;True;True;True;True;False;False;False
11259505;8;Real Bed;5;9;8;8;78;11259505;True;False;7;37.822551220779204;-122.27925387583286;p3;3;4;Private room;95;8;12;40.0;4;False;False;True;True;False;False;False;True;True;False;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;True;True;True;False;True;True;True;False;True;True;True;True;True;False;False;False
11069321;9;Real Bed;5;10;9;10;91;11069321;False;False;10;37.83951503746549;-122.25009908673273;p3;1;4;Private room;52;9;16;40.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;True;False;True;False;True;True;False;False;False
10771661;10;Real Bed;4;10;9;10;100;10771661;False;False;9;37.770361620728096;-122.12944129712082;p3;2;6;Private room;12;9;2;40.0;0;True;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;True;True;True;True;True;True;False;False;True;True;True;False;False;False;False
15466861;9;Real Bed;4;10;10;10;100;15466861;False;True;10;37.79072458267316;-122.24226791208203;p3;1;13;Private room;9;10;3;33.0;5;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;False;True;True;True;False;True;True;True;True;False;True;True
